,,,,,,,,市盈率,,,,发行数量(万股),,,,,,,,募集资金(亿元),,,发行费用(万元),,,,,,,,,,网下配售情况,,,,,,,,,,,网上发行情况,,,,,,,,,,,,,,,,,,,,,,
代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),"行业PE(近1月,静态)","行业PE(近1月,TTM)",总计,新股发行数量,老股转让数量,网下配售数量,网上发行数量,回拨比例(%),网下申购上限,网上发行申购上限(股),预计募资(上市公司),募资总额(上市公司),募资净额(上市公司),上市公司发行费用,上市公司发行费率(%),老股转让费用,转让费率(%),发行费用合计,发行费率(%),承销及保荐费,审计及验资费,法律费用,信息披露费,投资者数量(家),配售对象数量(个),询价申购数量(万股),询价认购倍数,有效报价配售对象家数,有效报价投资者家数,有效申购配售对象家数,有效申购数量(万股),有效申购资金(亿元),有效申购获配比例(%),认购倍数,有效申购户数,有效申购股数(万股),中签率(%),认购倍数,发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,网下发行起始日期,网下发行截止日期,网上发行冻结资金(亿元),网下配售冻结资金(亿元),承销商认购余股(万股),面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所
688036.SH,传音控股,787036,2019-09-10,2019-09-19,2019-09-30,科创板,35.15,42.78,38.36,37.97,37.22,"8,000.00","8,000.00",0.00,"5,880.30","2,119.70",10.00,900.00,"13,500.00",28.12,28.12,26.75,"13,734.39",4.88,0.00,0.00,"13,734.39",4.88,"10,408.68","1,979.25",613.21,504.72,335,3646,"2,624,090.00",479.12,2903,2903,"2,903","2,137,280.00","7,512.54",0.26,390.23,"3,335,284","3,911,960.95",0.0542,"1,845.53","战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市锦天城律师事务所,2019-09-18,2019-09-19,2019-09-19,"13,750.5427",,3.3311,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,上海
300791.SZ,仙乐健康,300791,2019-09-10,2019-09-12,2019-09-25,创业板,54.73,22.99,38.69,38.81,36.99,"2,000.00","2,000.00",0.00,,"2,000.00",0.00,,"20,000.00",10.95,10.95,10.19,"7,557.77",6.90,0.00,0.00,"7,557.77",6.90,"5,868.21",900.00,358.11,416.82,,,,,,,,,,,,"12,023,799","12,167,221.10",0.0164,"6,083.61",上网定价,余额包销,招商证券股份有限公司,广东正中珠江会计师事务所(特殊普通合伙),广东联信资产评估土地房地产估价有限公司,广东信达律师事务所,2019-09-11,,,"66,591.2011",,6.9145,1.00,广东省,食品制造业,,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健用品,A股,深圳
688030.SH,山石网科,787030,2019-09-09,2019-09-18,2019-09-30,科创板,21.06,55.08,52.25,51.84,49.43,"4,505.60","4,505.60",0.00,"2,970.15","1,535.45",10.00,400.00,"11,000.00",9.49,9.49,8.59,"8,940.77",9.42,0.00,0.00,"8,940.77",9.42,"7,016.60",635.00,682.43,481.13,339,3737,"1,485,630.00",637.70,3277,3277,"3,277","1,304,980.00","2,748.29",0.18,560.16,"3,380,726","3,326,018.70",0.0462,"2,166.15","战略配售,网下询价,上网定价",余额包销,中国国际金融股份有限公司,致同会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市金杜律师事务所,2019-09-17,2019-09-18,2019-09-18,"7,004.5954",,1.9899,1.00,江苏省,软件和信息技术服务业,,信息技术--软件与服务--软件--应用软件,A股,上海
688068.SH,热景生物,787068,2019-09-09,2019-09-18,2019-09-30,科创板,29.46,48.85,32.45,32.31,31.80,"1,555.00","1,555.00",0.00,965.00,590.00,10.00,200.00,"4,000.00",4.58,4.58,3.99,"5,903.20",12.89,0.00,0.00,"5,903.20",12.89,"4,333.88",712.26,226.41,523.58,366,4063,"811,500.00",914.62,3405,3405,"3,405","680,310.00","2,004.19",0.13,766.76,"3,379,771","1,309,855.25",0.0450,"2,220.09","战略配售,网下询价,上网定价",余额包销,中德证券有限责任公司,容诚会计师事务所(特殊普通合伙),中水致远资产评估有限公司,北京市康达律师事务所,2019-09-17,2019-09-18,2019-09-18,"3,858.8336",,0.6353,1.00,北京,医药制造业,,医疗保健--制药、生物科技与生命科学--生物科技Ⅲ--生物科技,A股,上海
688116.SH,天奈科技,787116,2019-09-04,2019-09-16,2019-09-25,科创板,16.00,57.07,16.53,16.45,17.31,"5,796.45","5,796.45",0.00,"3,589.90","2,206.55",10.00,770.00,"16,500.00",9.27,9.27,8.29,"9,843.17",10.61,0.00,0.00,"9,843.17",10.61,"7,604.95","1,226.42",518.87,,334,3920,"2,940,090.00",880.29,2609,2609,"2,608","1,960,220.00","3,136.35",0.17,586.91,"3,362,994","4,650,174.45",0.0475,"2,107.44","战略配售,网下询价,上网定价",余额包销,民生证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京市中伦律师事务所,2019-09-12,2019-09-16,2019-09-16,"7,440.2791",,3.9640,1.00,江苏省,化学原料及化学制品制造业,,材料--材料Ⅱ--化工--特种化工,A股,上海
603815.SH,交建股份,732815,2019-09-03,2019-10-09,,主板,5.14,22.99,8.72,8.68,8.42,"4,990.00","4,990.00",0.00,499.00,"4,491.00",60.00,800.00,"14,000.00",2.56,2.56,2.04,"5,211.23",20.32,0.00,0.00,"5,211.23",20.32,"3,301.89",937.74,344.34,518.87,2693,6833,"5,447,370.00","10,916.57",6790,6790,"6,754","5,384,690.00","2,767.73",0.01,"10,790.96","11,996,363","9,310,982.20",0.0482,"2,073.25","网下询价,上网定价",余额包销,国元证券股份有限公司,容诚会计师事务所(特殊普通合伙),中水致远资产评估有限公司,安徽天禾律师事务所,2019-10-08,2019-10-09,2019-10-09,"4,785.8449",,12.8016,1.00,安徽省,土木工程建筑业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,上海
300790.SZ,宇瞳光学,300790,2019-09-02,2019-09-10,2019-09-20,创业板,18.16,22.99,36.19,35.80,34.99,"2,858.00","2,858.00",0.00,285.80,"2,572.20",50.00,300.00,"11,000.00",5.19,5.19,4.74,"4,532.87",8.73,0.00,0.00,"4,532.87",8.73,"3,220.83",547.17,285.85,452.83,3362,6525,"1,945,610.00","6,807.59",6510,6510,"6,498","1,937,510.00","3,518.52",0.01,"6,779.25","12,298,924","8,766,273.60",0.0293,"3,408.08","网下询价,上网定价",余额包销,东兴证券股份有限公司,广东正中珠江会计师事务所(特殊普通合伙),广东联信资产评估土地房地产估价有限公司,国浩律师事务所,2019-09-09,2019-09-10,2019-09-10,"15,919.5529",,5.2255,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
002962.SZ,五方光电,002962,2019-08-27,2019-09-05,2019-09-17,中小企业板,14.39,22.99,35.65,35.46,34.64,"5,040.00","5,040.00",0.00,504.00,"4,536.00",50.00,700.00,"20,000.00",7.25,7.25,6.54,"7,102.04",9.79,0.00,0.00,"7,102.04",9.79,"4,811.32","1,415.09",318.87,486.79,3333,6415,"4,381,750.00","8,693.95",6401,6401,"6,379","4,327,150.00","6,226.77",0.01,"8,585.62","14,452,787","13,539,305.15",0.0335,"2,984.86","网下询价,上网定价",余额包销,民生证券股份有限公司,天健会计师事务所(特殊普通合伙),中瑞世联资产评估(北京)有限公司,北京德恒律师事务所,2019-09-04,2019-09-05,2019-09-05,"19,483.0601",,13.1472,1.00,湖北省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
603786.SH,科博达,732786,2019-08-27,2019-09-25,2019-10-15,主板,26.89,22.99,13.71,13.75,13.65,"4,010.00","4,010.00",0.00,401.00,"3,609.00",60.00,220.00,"12,000.00",10.78,10.78,10.20,"5,856.73",5.43,0.00,0.00,"5,856.73",5.43,"4,259.24",805.64,204.25,466.98,2605,6346,"1,385,720.00","3,455.66",6209,6209,"6,149","1,342,490.00","3,609.96",0.03,"3,347.86","12,089,396","8,558,167.10",0.0422,"2,371.34","网下询价,上网定价",余额包销,中国国际金融股份有限公司,众华会计师事务所(特殊普通合伙),上海东洲资产评估有限公司,北京市君合律师事务所,2019-09-24,2019-09-25,2019-09-25,"23,012.9113",,15.6617,1.00,上海,汽车制造业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,上海
603927.SH,中科软,732927,2019-08-20,2019-08-28,2019-09-09,主板,16.18,21.54,48.87,48.66,46.96,"4,240.00","4,240.00",0.00,424.00,"3,816.00",60.00,400.00,"12,000.00",6.86,6.86,6.04,"8,231.55",12.00,0.00,0.00,"8,231.55",12.00,"6,016.26","1,050.39",292.29,751.62,2686,6471,"2,569,740.00","6,060.71",6367,6367,"6,358","2,524,860.00","4,085.22",0.02,"5,954.86","12,670,806","8,827,236.90",0.0432,"2,313.22","网下询价,上网定价",余额包销,中泰证券股份有限公司,致同会计师事务所(特殊普通合伙),,北京高朋律师事务所,2019-08-27,2019-08-28,2019-08-28,"14,282.4693",,14.2437,1.00,北京,软件和信息技术服务业,,信息技术--软件与服务--软件--应用软件,A股,上海
