,,,,,,,,市盈率,,,,发行数量(万股),,,,,,,,募集资金(亿元),,,发行费用(万元),,,,,,,,,,网下配售情况,,,,,,,,,,,网上发行情况,,,,,,,,,,,,,,,,,,,,,,
代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),"行业PE(近1月,静态)","行业PE(近1月,TTM)",总计,新股发行数量,老股转让数量,网下配售数量,网上发行数量,回拨比例(%),网下申购上限,网上发行申购上限(股),预计募资(上市公司),募资总额(上市公司),募资净额(上市公司),上市公司发行费用,上市公司发行费率(%),老股转让费用,转让费率(%),发行费用合计,发行费率(%),承销及保荐费,审计及验资费,法律费用,信息披露费,投资者数量(家),配售对象数量(个),询价申购数量(万股),询价认购倍数,有效报价配售对象家数,有效报价投资者家数,有效申购配售对象家数,有效申购数量(万股),有效申购资金(亿元),有效申购获配比例(%),认购倍数,有效申购户数,有效申购股数(万股),中签率(%),认购倍数,发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,网下发行起始日期,网下发行截止日期,网上发行冻结资金(亿元),网下配售冻结资金(亿元),承销商认购余股(万股),面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所
300645.SZ,正元智慧,300645,2017-04-10,2017-04-12,2017-04-21,创业板,12.35,22.98,76.52,76.07,60.39,"1,666.67","1,666.67",0.00,,"1,666.67",0.00,,"16,500.00",2.06,2.06,1.58,"4,761.33",23.13,0.00,0.00,"4,761.33",23.13,"3,350.00",700.00,205.00,395.00,,,,,,,,,,,,"13,763,873","12,872,769.15",0.0129,"7,723.74",上网定价,余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,浙江天册律师事务所,2017-04-11,,,"15,897.8699",,2.1870,1.00,浙江省,软件和信息技术服务业,,信息技术--软件与服务--信息技术服务--信息科技咨询与其它服务,A股,深圳
002868.SZ,绿康生化,002868,2017-04-10,2017-04-20,2017-05-03,中小企业板,15.20,20.50,44.06,44.13,40.11,"3,000.00","3,000.00",0.00,300.00,"2,700.00",50.00,360.00,"12,000.00",4.56,4.56,3.68,"8,784.77",19.26,0.00,0.00,"8,784.77",19.26,"7,000.00","1,033.02",284.15,436.00,3625,5482,"1,971,360.00","6,571.20",5472,5472,"5,457","1,962,360.00","2,982.79",0.02,"6,541.20","16,165,342","11,737,646.55",0.0230,"4,347.28","网下询价,上网定价",余额包销,兴业证券股份有限公司,立信会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,国浩律师事务所,2017-04-19,2017-04-20,2017-04-20,"17,841.2228",,7.0847,1.00,福建省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
300642.SZ,透景生命,300642,2017-04-10,2017-04-12,2017-04-21,创业板,36.10,22.99,44.22,44.22,40.19,"1,500.00","1,500.00",0.00,,"1,500.00",0.00,,"15,000.00",5.42,5.42,4.99,"4,243.00",7.84,0.00,0.00,"4,243.00",7.84,"3,449.00",253.00,144.00,360.00,,,,,,,,,,,,"13,745,081","12,171,646.05",0.0123,"8,114.43",上网定价,余额包销,中国中投证券有限责任公司,立信会计师事务所(特殊普通合伙),上海立信资产评估有限公司,上海市广发律师事务所,2017-04-11,,,"43,939.6422",,2.5392,1.00,上海,医药制造业,,医疗保健--制药、生物科技与生命科学--生物科技Ⅲ--生物科技,A股,深圳
300554.SZ,三超新材,300554,2017-04-07,2017-04-11,2017-04-21,创业板,14.99,22.99,37.48,37.83,31.44,"1,300.00","1,300.00",0.00,,"1,300.00",0.00,,"13,000.00",1.95,1.95,1.67,"2,815.00",14.45,0.00,0.00,"2,815.00",14.45,"2,000.00",335.00,160.00,295.00,,,,,,,,,,,,"13,856,689","11,232,190.65",0.0116,"8,640.15",上网定价,余额包销,国信证券股份有限公司,天衡会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京国枫律师事务所,2017-04-10,,,"16,837.0538",,1.8474,1.00,江苏省,非金属矿物制品业,,工业--资本货物--机械--工业机械,A股,深圳
603787.SH,新日股份,732787,2017-04-07,2017-04-17,2017-04-27,主板,6.09,22.97,44.94,44.85,43.10,"5,100.00","5,100.00",0.00,510.00,"4,590.00",50.00,"1,600.00","20,000.00",3.11,3.11,2.73,"3,790.00",12.20,0.00,0.00,"3,790.00",12.20,"2,590.00",500.00,200.00,500.00,2823,4984,"7,956,040.00","15,600.08",4975,4975,"4,949","7,906,040.00","4,814.78",0.01,"15,502.04","15,378,673","13,771,023.10",0.0333,"3,000.22","网下询价,上网定价",余额包销,海通证券股份有限公司,天衡会计师事务所(特殊普通合伙),,北京市大成律师事务所,2017-04-14,2017-04-17,2017-04-17,"8,386.5531",,10.2316,1.00,江苏省,铁路、船舶、航空航天和其他运输设备制造业,,可选消费--耐用消费品与服装--休闲设备与用品--休闲用品,A股,上海
603232.SH,格尔软件,732232,2017-04-07,2017-04-11,2017-04-21,主板,18.10,22.91,76.68,76.26,60.51,"1,525.00","1,525.00",0.00,,"1,525.00",0.00,,"15,000.00",2.76,2.76,2.13,"6,325.33",22.92,0.00,0.00,"6,325.33",22.92,"4,602.50",685.09,542.98,481.84,,,,,,,,,,,,"15,455,095","11,874,079.70",0.0128,"7,786.28",上网定价,余额包销,国融证券股份有限公司,上会会计师事务所(特殊普通合伙),"上海众华资产评估有限公司,银信资产评估有限公司",北京海润天睿律师事务所,2017-04-10,,,"21,492.0843",,3.8282,1.00,上海,软件和信息技术服务业,,信息技术--软件与服务--软件--应用软件,A股,上海
002866.SZ,传艺科技,002866,2017-04-06,2017-04-17,2017-04-26,中小企业板,13.40,22.99,58.84,58.80,47.00,"3,590.67","3,590.67",0.00,359.02,"3,231.65",50.00,300.00,"14,000.00",4.81,4.81,4.35,"4,616.90",9.60,0.00,0.00,"4,616.90",9.60,"3,636.90",355.00,140.00,439.00,3616,5535,"1,659,910.00","4,623.45",5464,5464,"5,428","1,627,910.00","2,181.40",0.02,"4,534.32","16,334,939","12,985,802.30",0.0249,"4,018.32","网下询价,上网定价",余额包销,东吴证券股份有限公司,致同会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,江苏世纪同仁律师事务所,2017-04-14,2017-04-17,2017-04-17,"17,400.9751",,7.0495,1.00,江苏省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
603920.SH,世运电路,732920,2017-04-06,2017-04-14,2017-04-26,主板,15.08,22.98,58.84,58.80,47.00,"8,880.00","8,880.00",0.00,888.00,"7,992.00",60.00,"1,000.00","26,000.00",13.39,13.39,12.57,"8,161.22",6.09,0.00,0.00,"8,161.22",6.09,"6,660.74",885.10,5.30,510.00,2885,5236,"5,220,080.00","5,878.47",5236,5237,"5,223","5,207,310.00","7,852.62",0.02,"5,864.09","15,226,427","15,459,857.00",0.0517,"1,934.42","网下询价,上网定价",余额包销,金元证券股份有限公司,天健会计师事务所(特殊普通合伙),国众联资产评估土地房地产估价有限公司,北京懋德律师事务所,2017-04-13,2017-04-14,2017-04-14,"23,313.4644",,21.0668,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,上海
300514.SZ,友讯达,300514,2017-04-06,2017-04-17,2017-04-26,创业板,8.46,22.98,58.80,58.80,47.00,"2,500.00","2,500.00",0.00,250.00,"2,250.00",50.00,400.00,"10,000.00",2.12,2.12,1.81,"3,099.50",14.65,0.00,0.00,"3,099.50",14.65,"2,020.00",472.00,201.00,391.50,3490,5417,"2,165,800.00","8,663.20",5413,5413,"5,393","2,156,200.00","1,824.15",0.01,"8,624.80","13,834,345","9,477,410.90",0.0237,"4,212.18","网下询价,上网定价",余额包销,招商证券股份有限公司,大华会计师事务所(特殊普通合伙),国众联资产评估土地房地产估价有限公司,国浩律师事务所,2017-04-14,2017-04-17,2017-04-17,"8,017.8896",,3.6776,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,深圳
603096.SH,新经典,732096,2017-04-06,2017-04-14,2017-04-25,主板,21.55,21.22,33.58,33.62,32.13,"3,336.00","3,336.00",0.00,333.60,"3,002.40",50.00,500.00,"13,000.00",7.19,7.19,6.64,"5,499.35",7.65,0.00,0.00,"5,499.35",7.65,"3,810.21",808.00,260.00,554.00,3333,5841,"2,912,520.00","8,730.58",5831,5831,"5,813","2,898,790.00","6,246.89",0.01,"8,689.42","15,212,325","10,837,122.30",0.0277,"3,609.49","网下询价,上网定价",余额包销,东方花旗证券有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,国浩律师事务所,2017-04-13,2017-04-14,2017-04-14,"23,353.9986",,7.8895,1.00,天津,新闻和出版业,,可选消费--媒体Ⅱ--媒体Ⅲ--出版,A股,上海
002865.SZ,钧达股份,002865,2017-04-05,2017-04-14,2017-04-25,中小企业板,9.05,22.07,22.24,22.21,18.62,"3,000.00","3,000.00",0.00,300.00,"2,700.00",50.00,900.00,"12,000.00",2.72,2.72,2.23,"4,814.00",17.73,0.00,0.00,"4,814.00",17.73,"3,200.00",564.00,500.00,550.00,3597,5406,"4,850,200.00","16,167.33",5391,5391,"5,366","4,814,870.00","4,357.46",0.01,"16,049.57","16,192,240","11,763,715.05",0.0230,"4,356.93","网下询价,上网定价",余额包销,中国银河证券股份有限公司,中证天通会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,北京安新律师事务所,2017-04-13,2017-04-14,2017-04-14,"10,646.1621",,4.8491,1.00,海南省,汽车制造业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,深圳
300604.SZ,长川科技,300604,2017-03-30,2017-04-05,2017-04-17,创业板,9.94,22.97,79.22,79.27,72.05,"1,905.00","1,905.00",0.00,,"1,905.00",0.00,,"19,000.00",1.89,1.89,1.50,"3,971.91",20.98,0.00,0.00,"3,971.91",20.98,"2,000.00",950.00,660.00,341.00,,,,,,,,,,,,"14,056,330","14,172,787.55",0.0134,"7,439.78",上网定价,余额包销,长江证券承销保荐有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,国浩律师事务所,2017-03-31,,,"14,087.7508",,2.8036,1.00,浙江省,专用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
300640.SZ,德艺文创,300640,2017-03-30,2017-04-05,2017-04-17,创业板,9.41,22.98,76.79,78.99,58.50,"2,000.00","2,000.00",0.00,,"2,000.00",0.00,,"20,000.00",1.88,1.88,1.49,"3,883.00",20.63,0.00,0.00,"3,883.00",20.63,"2,700.00",630.00,235.00,318.00,,,,,,,,,,,,"14,011,607","14,537,297.00",0.0138,"7,268.65",上网定价,余额包销,兴业证券股份有限公司,华兴会计师事务所(特殊普通合伙),福建联合中和资产评估土地房地产估价有限公司,福建天衡联合律师事务所,2017-03-31,,,"13,679.5965",,3.3986,1.00,福建省,文化艺术业,,可选消费--耐用消费品与服装--家庭耐用消费品--家用器具与特殊消费品,A股,深圳
603081.SH,大丰实业,732081,2017-03-28,2017-04-10,2017-04-20,主板,10.42,22.98,79.27,79.27,72.05,"5,180.00","5,180.00",0.00,518.00,"4,662.00",60.00,900.00,"15,000.00",5.40,5.40,4.75,"6,524.05",12.09,0.00,0.00,"6,524.05",12.09,"5,000.00",660.00,328.00,425.00,2690,4685,"4,208,160.00","8,123.86",4678,4678,"4,667","4,191,960.00","4,368.02",0.01,"8,092.59","15,567,268","11,952,953.40",0.0390,"2,563.91","网下询价,上网定价",余额包销,国泰君安证券股份有限公司,容诚会计师事务所(特殊普通合伙),中水致远资产评估有限公司,浙江天册律师事务所,2017-04-07,2017-04-10,2017-04-10,"12,454.9774",,11.2457,1.00,浙江省,专用设备制造业,,工业--资本货物--机械--工业机械,A股,上海
603803.SH,瑞斯康达,732803,2017-03-28,2017-04-07,2017-04-20,主板,13.72,22.98,58.47,58.42,46.74,"5,680.00","5,680.00",0.00,568.00,"5,112.00",60.42,"1,000.00","16,000.00",7.79,7.79,7.20,"5,970.09",7.66,0.00,0.00,"5,970.09",7.66,"4,286.13",640.00,365.00,531.00,2737,4808,"4,788,000.00","8,429.58",4797,4797,"4,783","4,763,000.00","6,534.84",0.01,"8,385.56","15,401,566","12,267,055.10",0.0417,"2,399.66","网下询价,上网定价",余额包销,招商证券股份有限公司,天健会计师事务所(特殊普通合伙),开元资产评估有限公司,北京市中伦律师事务所,2017-04-06,2017-04-07,2017-04-07,"16,830.3996",,7.9612,1.00,北京,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,上海
603225.SH,新凤鸣,732225,2017-03-27,2017-04-07,2017-04-18,主板,26.68,22.99,82.19,82.36,37.81,"7,730.00","7,730.00",0.00,773.00,"6,957.00",60.00,"1,000.00","23,000.00",20.62,20.62,19.70,"9,236.40",4.48,0.00,0.00,"9,236.40",4.48,"7,576.40",900.00,260.00,500.00,2760,4798,"4,720,220.00","6,106.36",4788,4788,"4,766","4,688,220.00","12,508.17",0.02,"6,064.97","15,368,007","14,719,451.70",0.0473,"2,115.78","网下询价,上网定价",余额包销,申万宏源证券承销保荐有限责任公司,天健会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京国枫律师事务所,2017-04-06,2017-04-07,2017-04-07,"39,271.4971",,16.0001,1.00,浙江省,化学纤维制造业,,材料--材料Ⅱ--化工--化纤,A股,上海
603139.SH,康惠制药,732139,2017-03-27,2017-04-10,2017-04-21,主板,14.57,22.98,44.21,44.22,40.17,"2,497.00","2,497.00",0.00,249.70,"2,247.30",50.07,400.00,"9,000.00",3.64,3.64,3.17,"4,633.29",12.74,0.00,0.00,"4,633.29",12.74,"3,280.00",305.00,553.00,461.00,2742,4952,"1,980,120.00","7,930.00",4947,4947,"4,941","1,975,720.00","2,878.62",0.01,"7,912.37","15,527,262","8,811,501.10",0.0255,"3,920.93","网下询价,上网定价",余额包销,国金证券股份有限公司,上会会计师事务所(特殊普通合伙),"上海众华资产评估有限公司,银信资产评估有限公司",北京市金杜律师事务所,2017-04-07,2017-04-10,2017-04-10,"12,838.3571",,6.8168,1.00,陕西省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--中药,A股,上海
603926.SH,铁流股份,732926,2017-03-27,2017-04-27,2017-05-10,主板,20.40,22.98,22.14,22.15,18.57,"3,000.00","3,000.00",0.00,300.00,"2,700.00",50.00,300.00,"12,000.00",6.12,6.12,5.56,"5,565.47",9.09,0.00,0.00,"5,565.47",9.09,"3,947.17",692.45,504.72,377.36,3369,5884,"1,763,510.00","5,878.37",5738,5738,"5,636","1,689,110.00","3,445.78",0.02,"5,630.37","14,899,182","10,167,943.20",0.0266,"3,765.90","网下询价,上网定价",余额包销,安信证券股份有限公司,立信会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,上海市锦天城律师事务所,2017-04-26,2017-04-27,2017-04-27,"20,742.6041",,6.5713,1.00,浙江省,汽车制造业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,上海
300641.SZ,正丹股份,300641,2017-03-27,2017-04-06,2017-04-18,创业板,10.73,22.98,48.64,48.66,47.65,"7,200.00","7,200.00",0.00,720.00,"6,480.00",50.00,"1,500.00","28,500.00",7.73,7.73,6.99,"7,374.09",9.55,0.00,0.00,"7,374.09",9.55,"6,413.85",395.00,100.00,386.00,3451,5155,"7,678,150.00","10,664.10",5147,5147,"5,124","7,631,650.00","8,188.76",0.01,"10,599.51","14,017,728","17,299,642.20",0.0375,"2,669.70","网下询价,上网定价",余额包销,中国国际金融股份有限公司,立信会计师事务所(特殊普通合伙),江苏华信资产评估有限公司,国浩律师事务所,2017-04-05,2017-04-06,2017-04-06,"18,562.5161",,10.6842,1.00,江苏省,化学原料及化学制品制造业,,材料--材料Ⅱ--化工--特种化工,A股,深圳
002863.SZ,今飞凯达,002863,2017-03-27,2017-04-06,2017-04-18,中小企业板,5.48,21.92,22.14,22.15,18.57,"5,550.00","5,550.00",0.00,555.00,"4,995.00",53.06,"1,000.00","20,500.00",3.04,3.04,2.57,"4,728.90",15.55,0.00,0.00,"4,728.90",15.55,"2,700.00","1,071.30",460.00,450.00,3571,5509,"5,503,530.00","9,916.27",5501,5501,"5,468","5,463,230.00","2,993.85",0.01,"9,843.66","16,587,877","16,154,462.05",0.0309,"3,234.13","网下询价,上网定价",余额包销,财通证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市锦天城律师事务所,2017-04-05,2017-04-06,2017-04-06,"8,852.6452",,7.5999,1.00,浙江省,汽车制造业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,深圳
002862.SZ,实丰文化,002862,2017-03-27,2017-03-29,2017-04-11,中小企业板,11.17,22.98,67.53,67.58,56.96,"2,000.00","2,000.00",0.00,,"2,000.00",0.00,,"20,000.00",2.23,2.23,2.02,"2,142.00",9.59,0.00,0.00,"2,142.00",9.59,"1,217.00",260.00,200.00,420.00,,,,,,,,,,,,"16,356,520","15,747,732.00",0.0127,"7,873.87",上网定价,余额包销,东海证券股份有限公司,广东正中珠江会计师事务所(特殊普通合伙),广东中广信资产评估有限公司,北京市君合律师事务所,2017-03-28,,,"17,590.2166",,4.3762,1.00,广东省,文教、工美、体育和娱乐用品制造业,,可选消费--耐用消费品与服装--休闲设备与用品--休闲用品,A股,深圳
603078.SH,江化微,732078,2017-03-23,2017-03-27,2017-04-10,主板,24.18,22.99,48.49,48.59,47.57,"1,500.00","1,500.00",0.00,,"1,500.00",0.00,,"15,000.00",3.63,3.63,3.30,"3,234.11",8.92,0.00,0.00,"3,234.11",8.92,"1,975.00",450.94,283.13,482.70,,,,,,,,,,,,"15,358,696","11,792,271.00",0.0127,"7,861.51",上网定价,余额包销,华泰联合证券有限责任公司,立信会计师事务所(特殊普通合伙),江苏中企华中天资产评估有限公司,北京国枫律师事务所,2017-03-24,,,"28,513.7113",,4.2700,1.00,江苏省,化学原料及化学制品制造业,,材料--材料Ⅱ--化工--特种化工,A股,上海
300638.SZ,广和通,300638,2017-03-23,2017-03-27,2017-04-13,创业板,10.45,22.97,58.00,58.25,46.61,"2,000.00","2,000.00",0.00,,"2,000.00",0.00,,"20,000.00",2.09,2.09,1.81,"2,840.71",13.59,0.00,0.00,"2,840.71",13.59,"2,000.00",312.64,153.51,350.00,,,,,,,,,,,,"13,922,037","14,410,496.40",0.0139,"7,205.25",上网定价,余额包销,国信证券股份有限公司,致同会计师事务所(特殊普通合伙),北京京都中新资产评估有限公司,广东信达律师事务所,2017-03-24,,,"15,058.9687",,2.8559,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,深圳
002861.SZ,瀛通通讯,002861,2017-03-23,2017-03-31,2017-04-13,中小企业板,17.25,22.70,58.51,58.31,46.65,"3,068.00","3,068.00",0.00,306.80,"2,761.20",50.01,800.00,"12,000.00",5.29,5.29,4.51,"7,859.44",14.85,0.00,0.00,"7,859.44",14.85,"5,600.00","1,100.00",540.00,450.00,3303,4891,"3,895,880.00","12,698.44",4853,4853,"4,831","3,848,720.00","6,639.04",0.01,"12,544.72","16,142,100","11,719,717.45",0.0236,"4,244.43","网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),,北京市康达律师事务所,2017-03-30,2017-03-31,2017-03-31,"20,216.5126",,5.6422,1.00,湖北省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
300637.SZ,扬帆新材,300637,2017-03-22,2017-03-30,2017-04-12,创业板,10.02,19.95,48.66,48.59,47.57,"3,000.00","3,000.00",0.00,300.00,"2,700.00",50.00,"1,000.00","12,000.00",3.01,3.01,2.46,"5,457.00",18.15,0.00,0.00,"5,457.00",18.15,"3,500.00",993.00,498.00,466.00,3363,5044,"5,027,090.00","16,756.97",5036,5036,"5,016","4,999,790.00","5,009.79",0.01,"16,665.97","13,650,124","10,529,193.95",0.0256,"3,899.70","网下询价,上网定价",余额包销,海通证券股份有限公司,中汇会计师事务所(特殊普通合伙),天源资产评估有限公司,北京德恒律师事务所,2017-03-29,2017-03-30,2017-03-30,"10,550.2523",,3.4372,1.00,浙江省,化学原料及化学制品制造业,,材料--材料Ⅱ--化工--特种化工,A股,深圳
300639.SZ,凯普生物,300639,2017-03-22,2017-03-30,2017-04-12,创业板,18.39,22.99,44.15,44.10,40.04,"2,250.00","2,250.00",0.00,225.00,"2,025.00",56.67,500.00,"7,500.00",4.14,4.14,3.72,"4,152.41",10.04,0.00,0.00,"4,152.41",10.04,"3,123.93",473.58,160.38,354.72,4051,5896,"2,939,760.00","13,065.60",5879,5879,"5,846","2,915,110.00","5,360.89",0.01,"12,956.04","13,626,185","7,647,229.50",0.0265,"3,776.41","网下询价,上网定价",余额包销,广发证券股份有限公司,立信会计师事务所(特殊普通合伙),北京亚太联华资产评估有限公司,广东信达律师事务所,2017-03-29,2017-03-30,2017-03-30,"14,063.2551",,2.5231,1.00,广东省,医药制造业,,医疗保健--制药、生物科技与生命科学--生物科技Ⅲ--生物科技,A股,深圳
603050.SH,科林电气,732050,2017-03-22,2017-03-31,2017-04-14,主板,10.29,22.99,36.98,36.87,31.42,"3,334.00","3,334.00",0.00,333.40,"3,000.60",50.00,300.00,"13,000.00",3.43,3.43,3.17,"2,561.18",7.47,0.00,0.00,"2,561.18",7.47,"1,813.81",155.00,90.00,450.00,2683,4740,"1,419,860.00","4,258.73",4734,4734,"4,718","1,413,260.00","1,454.24",0.02,"4,238.93","15,167,831","10,771,529.60",0.0279,"3,589.79","网下询价,上网定价",余额包销,东吴证券股份有限公司,中兴华会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京德恒律师事务所,2017-03-30,2017-03-31,2017-03-31,"11,083.9040",,5.7325,1.00,河北省,电气机械及器材制造业,,工业--资本货物--电气设备--电气部件与设备,A股,上海
603797.SH,联泰环保,732797,2017-03-21,2017-03-30,2017-04-13,主板,5.96,22.98,48.91,48.49,43.62,"5,334.00","5,334.00",0.00,533.40,"4,800.60",50.00,640.00,"21,000.00",3.18,3.18,2.77,"4,060.92",12.77,0.00,0.00,"4,060.92",12.77,"2,861.16",471.54,200.00,480.00,2658,4625,"2,958,900.00","5,547.24",4617,4617,"4,592","2,938,070.00","1,751.09",0.02,"5,508.19","15,127,777","13,858,122.80",0.0346,"2,886.75","网下询价,上网定价",余额包销,申万宏源证券承销保荐有限责任公司,立信会计师事务所(特殊普通合伙),国众联资产评估土地房地产估价有限公司,广东信达律师事务所,2017-03-29,2017-03-30,2017-03-30,"8,259.4412",,9.4791,1.00,广东省,生态保护和环境治理业,,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,上海
603826.SH,坤彩科技,732826,2017-03-21,2017-03-31,2017-04-14,主板,6.79,22.97,37.17,37.05,30.78,"9,000.00","9,000.00",0.00,900.00,"8,100.00",50.00,800.00,"36,000.00",6.11,6.11,5.53,"5,835.00",9.55,0.00,0.00,"5,835.00",9.55,"4,180.00",737.00,468.00,410.00,2676,4817,"3,852,500.00","4,280.56",4806,4806,"4,791","3,831,700.00","2,601.72",0.02,"4,257.44","15,149,922","17,611,304.20",0.0460,"2,174.24","网下询价,上网定价",余额包销,国金证券股份有限公司,华兴会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京国枫律师事务所,2017-03-30,2017-03-31,2017-03-31,"11,958.0756",,14.7161,1.00,福建省,非金属矿物制品业,,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,A股,上海
601366.SH,利群股份,780366,2017-03-21,2017-03-29,2017-04-12,主板,8.82,22.98,44.86,44.88,43.79,"17,600.00","17,600.00",0.00,"1,760.00","15,840.00",60.00,"2,000.00","52,000.00",15.52,15.52,14.97,"5,517.00",3.55,0.00,0.00,"5,517.00",3.55,"4,533.00",205.00,94.00,548.00,2598,4456,"8,837,910.00","5,021.54",4452,4452,"4,439","8,803,910.00","7,765.05",0.02,"5,002.22","15,375,938","20,325,426.30",0.0779,"1,283.17","网下询价,上网定价",余额包销,中信证券股份有限公司,信永中和会计师事务所(特殊普通合伙),万隆(上海)资产评估有限公司,北京市金杜律师事务所,2017-03-28,2017-03-29,2017-03-29,"17,927.0260",,32.3155,1.00,山东省,零售业,,可选消费--零售业--多元化零售--百货商店,A股,上海
002860.SZ,星帅尔,002860,2017-03-21,2017-03-29,2017-04-12,中小企业板,19.81,20.74,36.86,36.71,31.28,"1,899.47","1,520.00",379.47,531.47,"1,368.00",32.54,400.00,"7,500.00",3.01,3.01,2.28,"7,282.20",24.18,"1,298.54",3.45,"8,580.74",22.80,"7,000.00",652.00,487.33,400.00,4049,6074,"2,425,630.00","4,564.03",6030,6030,"5,996","2,394,430.00","4,743.37",0.02,"4,505.32","16,371,565","8,743,988.20",0.0156,"6,391.80","网下询价,上网定价",余额包销,安信证券股份有限公司,立信会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市锦天城律师事务所,2017-03-28,2017-03-29,2017-03-29,"17,321.8406",,3.7696,1.00,浙江省,电气机械及器材制造业,,工业--资本货物--机械--工业机械,A股,深圳
300636.SZ,同和药业,300636,2017-03-17,2017-03-21,2017-03-31,创业板,14.47,22.98,43.70,43.79,39.74,"2,000.00","2,000.00",0.00,,"2,000.00",0.00,,"20,000.00",2.89,2.89,2.63,"2,637.00",9.11,0.00,0.00,"2,637.00",9.11,"2,000.00",208.00,165.00,237.00,,,,,,,,,,,,"13,660,940","14,154,319.55",0.0141,"7,077.16",上网定价,余额包销,国金证券股份有限公司,立信会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,上海市通力律师事务所,2017-03-20,,,"20,481.3004",,2.8056,1.00,江西省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
300633.SZ,开立医疗,300633,2017-03-16,2017-03-24,2017-04-06,创业板,5.23,22.97,78.68,78.48,71.19,"4,001.00","4,001.00",0.00,400.10,"3,600.90",60.23,800.00,"11,500.00",2.09,2.09,1.65,"4,465.73",21.34,0.00,0.00,"4,465.73",21.34,"3,355.00",540.00,168.00,355.00,3153,4680,"3,741,540.00","9,351.51",4675,4675,"4,638","3,708,100.00","1,939.34",0.01,"9,267.93","13,762,953","10,321,470.90",0.0349,"2,866.36","网下询价,上网定价",余额包销,"长城证券股份有限公司,中国国际金融股份有限公司",天健会计师事务所(特殊普通合伙),广东中广信资产评估有限公司,北京市中伦律师事务所,2017-03-23,2017-03-24,2017-03-24,"5,398.1293",,6.2721,1.00,广东省,专用设备制造业,,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,深圳
300632.SZ,光莆股份,300632,2017-03-16,2017-03-24,2017-04-06,创业板,7.39,22.96,57.88,57.67,46.12,"2,895.00","2,895.00",0.00,289.50,"2,605.50",50.00,350.00,"11,500.00",2.14,2.14,1.77,"3,686.94",17.23,0.00,0.00,"3,686.94",17.23,"2,655.66",518.00,169.81,300.00,3286,4915,"1,719,960.00","5,941.14",4905,4905,"4,873","1,705,310.00","1,260.22",0.02,"5,890.54","13,788,538","10,334,241.70",0.0252,"3,966.32","网下询价,上网定价",余额包销,中信建投证券股份有限公司,大华会计师事务所(特殊普通合伙),厦门市大学资产评估土地房地产估价有限责任公司,北京国枫律师事务所,2017-03-23,2017-03-24,2017-03-24,"7,637.0046",,4.3107,1.00,福建省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
